epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,3631.22,0.87653,0.90487,0.57061,0.005,0.46065,0.87712,0.93469,0.96266,0.7749,0.88669,0.9449,0.9718,0.8097,0.77392,0.76931,0.43661,0.00597,0,0.0017228,0.0017228,0.0017228
44,3719.21,0.91805,0.94427,0.58229,0.00534,0.48973,0.90435,0.92245,0.96217,0.75062,0.90435,0.92245,0.96378,0.81313,0.8581,0.79015,0.46133,0.00658,0,0.0017162,0.0017162,0.0017162
45,3806.07,0.91104,0.913,0.57694,0.00532,0.486,0.88327,0.94082,0.95055,0.74475,0.8871,0.9449,0.9547,0.79329,0.88501,0.75295,0.45358,0.00697,0,0.0017096,0.0017096,0.0017096
46,3891.74,0.87266,0.91066,0.59154,0.00515,0.51147,0.89896,0.90612,0.95331,0.75952,0.90504,0.91224,0.96446,0.80978,0.81419,0.78721,0.43225,0.00641,0,0.001703,0.001703,0.001703
47,3980.42,0.8893,0.91265,0.56401,0.00523,0.43497,0.90339,0.91596,0.96244,0.76819,0.9054,0.918,0.96346,0.82573,0.8145,0.75271,0.43454,0.0061,0,0.0016964,0.0016964,0.0016964
48,4064.48,0.92264,0.92498,0.57971,0.0054,0.5253,0.89578,0.91224,0.94365,0.75441,0.89578,0.91224,0.94896,0.79303,0.81132,0.76286,0.49674,0.0063,0,0.0016898,0.0016898,0.0016898
49,4150.05,0.88835,0.91954,0.57551,0.00507,0.48201,0.92818,0.90816,0.95939,0.76143,0.9322,0.9102,0.95866,0.80697,0.80938,0.77313,0.43923,0.00626,0,0.0016832,0.0016832,0.0016832
50,4238.46,0.86151,0.90383,0.56044,0.00481,0.52253,0.88733,0.94831,0.96678,0.78693,0.88733,0.94831,0.96706,0.82138,0.75384,0.8165,0.41093,0.00555,0,0.0016766,0.0016766,0.0016766
51,4326.98,0.84758,0.89658,0.58129,0.00487,0.55925,0.90679,0.94286,0.97069,0.77494,0.91683,0.93878,0.97143,0.84025,0.80478,0.66247,0.41267,0.00598,0,0.00167,0.00167,0.00167
52,4412.71,0.86713,0.90289,0.56341,0.00491,0.48031,0.91847,0.91969,0.95916,0.76573,0.9225,0.92307,0.96318,0.82029,0.79719,0.75046,0.45934,0.00606,0,0.0016634,0.0016634,0.0016634
53,4498.67,0.84542,0.88381,0.52557,0.00485,0.40482,0.90211,0.91224,0.96326,0.76882,0.90163,0.91654,0.96669,0.82028,0.79531,0.72656,0.44319,0.00601,0,0.0016568,0.0016568,0.0016568
54,4584.49,0.86006,0.87776,0.54703,0.00497,0.47823,0.89987,0.93061,0.96403,0.77502,0.90185,0.93265,0.96613,0.82738,0.80385,0.73957,0.42826,0.0061,0,0.0016502,0.0016502,0.0016502
55,4671.37,0.86898,0.93143,0.56116,0.00492,0.47135,0.89277,0.91756,0.95758,0.75404,0.88132,0.93964,0.95788,0.81952,0.82747,0.70825,0.45275,0.0063,0,0.0016436,0.0016436,0.0016436
56,4755.17,0.85336,0.8937,0.56072,0.00483,0.44279,0.90736,0.91224,0.96076,0.78537,0.89644,0.92857,0.9631,0.82413,0.75884,0.7018,0.39795,0.00584,0,0.001637,0.001637,0.001637
57,4840.65,0.85644,0.92325,0.56606,0.00494,0.48177,0.88568,0.95306,0.96565,0.7808,0.88799,0.9546,0.96761,0.8344,0.75144,0.67111,0.40497,0.00574,0,0.0016304,0.0016304,0.0016304
58,4928.8,0.83131,0.88502,0.52467,0.00459,0.42725,0.89325,0.92217,0.9559,0.75228,0.89325,0.92217,0.95983,0.78992,0.82449,0.77993,0.47412,0.00647,0,0.0016238,0.0016238,0.0016238
59,5016.48,0.8517,0.90849,0.57556,0.00492,0.47374,0.90935,0.9213,0.96753,0.77277,0.92569,0.91525,0.97036,0.829,0.78547,0.68498,0.45973,0.00605,0,0.0016172,0.0016172,0.0016172
60,5099.65,0.83187,0.8639,0.52483,0.00494,0.43267,0.90487,0.91237,0.95935,0.77897,0.90498,0.91351,0.95987,0.82609,0.78918,0.75186,0.42013,0.00609,0,0.0016106,0.0016106,0.0016106
61,5184.55,0.81805,0.86359,0.54201,0.00464,0.50998,0.9142,0.91837,0.96638,0.78332,0.91623,0.92041,0.96721,0.83472,0.7748,0.71318,0.43263,0.00588,0,0.001604,0.001604,0.001604
62,5269.91,0.83268,0.85505,0.52407,0.00469,0.44432,0.89762,0.92245,0.95685,0.77401,0.8917,0.94082,0.96086,0.82238,0.78911,0.69376,0.44647,0.00585,0,0.0015974,0.0015974,0.0015974
63,5355.37,0.85802,0.8436,0.52707,0.00498,0.38524,0.91586,0.93469,0.96924,0.78578,0.91986,0.93878,0.97315,0.84268,0.77336,0.66419,0.41864,0.00583,0,0.0015908,0.0015908,0.0015908
64,5440.07,0.83272,0.83256,0.54648,0.00487,0.49161,0.9308,0.90582,0.96633,0.79798,0.93289,0.90787,0.97223,0.84562,0.74272,0.70637,0.37675,0.00567,0,0.0015842,0.0015842,0.0015842
65,5524.74,0.80246,0.84759,0.53678,0.00457,0.45469,0.88064,0.93357,0.95773,0.78982,0.88059,0.93307,0.95736,0.8237,0.74091,0.67995,0.42129,0.00565,0,0.0015776,0.0015776,0.0015776
66,5613,0.79574,0.84911,0.52834,0.00452,0.385,0.91245,0.93584,0.97164,0.7935,0.91245,0.93584,0.97043,0.83763,0.74059,0.69698,0.45159,0.00564,0,0.001571,0.001571,0.001571
67,5696.2,0.8515,0.87613,0.52032,0.00481,0.4466,0.8718,0.93265,0.95335,0.7735,0.87519,0.93673,0.95791,0.81554,0.76563,0.72261,0.51798,0.00606,0,0.0015644,0.0015644,0.0015644
68,5782.51,0.83072,0.85569,0.5438,0.00468,0.43188,0.88716,0.92245,0.95895,0.78895,0.89871,0.92344,0.96185,0.82624,0.75575,0.7505,0.45766,0.00582,0,0.0015578,0.0015578,0.0015578
69,5869.68,0.85085,0.89091,0.54743,0.00474,0.51875,0.90863,0.91429,0.96284,0.76979,0.91065,0.91633,0.96562,0.81221,0.77502,0.7227,0.43474,0.00597,0,0.0015512,0.0015512,0.0015512
70,5955.45,0.80765,0.8244,0.49915,0.0046,0.43764,0.90832,0.93004,0.96964,0.80027,0.91031,0.93208,0.97394,0.83641,0.72652,0.68631,0.41411,0.00547,0,0.0015446,0.0015446,0.0015446
71,6041.49,0.81659,0.87241,0.52955,0.00453,0.41677,0.94271,0.90204,0.96502,0.79358,0.94484,0.90408,0.96841,0.84431,0.72935,0.70782,0.41287,0.0057,0,0.001538,0.001538,0.001538
72,6128.15,0.78547,0.83307,0.50039,0.00451,0.46052,0.93367,0.90612,0.97123,0.79219,0.90864,0.9449,0.97497,0.85051,0.74665,0.66209,0.36816,0.00574,0,0.0015314,0.0015314,0.0015314
73,6215.65,0.78936,0.81314,0.49878,0.00435,0.41067,0.90609,0.94515,0.97389,0.80939,0.90609,0.94515,0.9722,0.84983,0.69693,0.66701,0.35242,0.00526,0,0.0015248,0.0015248,0.0015248
74,6301.75,0.82097,0.85045,0.5213,0.00464,0.4341,0.9265,0.89796,0.95994,0.78135,0.90099,0.92853,0.96276,0.83458,0.75829,0.72466,0.40685,0.00569,0,0.0015182,0.0015182,0.0015182
75,6388.28,0.79649,0.82091,0.49819,0.00437,0.35717,0.90112,0.94851,0.97343,0.80888,0.905,0.95259,0.97533,0.84911,0.69381,0.64921,0.36413,0.00546,0,0.0015116,0.0015116,0.0015116
76,6471.97,0.81882,0.853,0.50549,0.00462,0.39343,0.90194,0.95102,0.97234,0.78833,0.90581,0.9551,0.97578,0.84442,0.77762,0.70664,0.36412,0.00607,0,0.001505,0.001505,0.001505
77,6558.68,0.80293,0.83079,0.49927,0.00449,0.41373,0.91018,0.92857,0.9633,0.78701,0.91094,0.93265,0.96488,0.82908,0.75896,0.6977,0.46473,0.00572,0,0.0014984,0.0014984,0.0014984
78,6646.16,0.8039,0.84336,0.5162,0.00455,0.50064,0.88131,0.95306,0.96566,0.79998,0.88247,0.9551,0.96904,0.84598,0.71798,0.74114,0.40102,0.00534,0,0.0014918,0.0014918,0.0014918
79,6730.95,0.78639,0.84732,0.49907,0.00455,0.40177,0.8831,0.94694,0.96782,0.79897,0.8997,0.93366,0.96761,0.84182,0.71736,0.70504,0.40225,0.0056,0,0.0014852,0.0014852,0.0014852
80,6817.68,0.78944,0.81704,0.49217,0.00442,0.40246,0.9046,0.92891,0.96881,0.80525,0.9046,0.92891,0.96907,0.86203,0.72809,0.66254,0.38883,0.00553,0,0.0014786,0.0014786,0.0014786
81,6904.5,0.80484,0.83839,0.47536,0.00453,0.36874,0.9262,0.92857,0.97343,0.8194,0.932,0.92653,0.97375,0.85727,0.67906,0.70046,0.34669,0.00524,0,0.001472,0.001472,0.001472
82,6989.97,0.75958,0.77988,0.46833,0.00429,0.38108,0.92062,0.93673,0.97349,0.80911,0.92014,0.93673,0.97439,0.85477,0.74725,0.69631,0.36618,0.00571,0,0.0014654,0.0014654,0.0014654
83,7074.27,0.76948,0.79441,0.47845,0.00428,0.39063,0.89079,0.94694,0.96953,0.79772,0.88695,0.94286,0.97032,0.84215,0.72408,0.71639,0.42664,0.00556,0,0.0014588,0.0014588,0.0014588
84,7158.96,0.77883,0.82278,0.46847,0.00419,0.34387,0.93724,0.94472,0.97355,0.8056,0.93521,0.94268,0.97339,0.84317,0.7278,0.7272,0.33559,0.0055,0,0.0014522,0.0014522,0.0014522
85,7242.08,0.75926,0.79389,0.44549,0.0042,0.33506,0.90453,0.92814,0.96947,0.80296,0.91846,0.92041,0.97167,0.84662,0.73233,0.69205,0.3866,0.00536,0,0.0014456,0.0014456,0.0014456
86,7326.89,0.76789,0.81143,0.45909,0.00423,0.34281,0.90896,0.93469,0.97455,0.80554,0.91094,0.93673,0.97568,0.84942,0.71169,0.67585,0.40524,0.00546,0,0.001439,0.001439,0.001439
87,7415.54,0.76553,0.81869,0.46548,0.00419,0.37567,0.92517,0.93358,0.97186,0.80489,0.92719,0.93563,0.97374,0.84299,0.69597,0.67928,0.37048,0.00499,0,0.0014324,0.0014324,0.0014324
88,7501.05,0.7589,0.81433,0.45274,0.00416,0.3537,0.93725,0.93878,0.97303,0.81316,0.93929,0.94082,0.97988,0.85711,0.69287,0.63037,0.34591,0.00529,0,0.0014258,0.0014258,0.0014258
89,7585.97,0.77402,0.80001,0.50103,0.00435,0.40342,0.90927,0.92041,0.96213,0.78822,0.9133,0.92449,0.96565,0.84555,0.74159,0.6931,0.40898,0.00572,0,0.0014192,0.0014192,0.0014192
90,7670.66,0.75154,0.788,0.45451,0.00411,0.35744,0.91892,0.93673,0.97624,0.83135,0.92092,0.93878,0.97715,0.86074,0.63725,0.66279,0.36832,0.00466,0,0.0014126,0.0014126,0.0014126
91,7756.88,0.74928,0.76818,0.45057,0.00419,0.39165,0.9117,0.93469,0.97157,0.81442,0.91369,0.93673,0.97364,0.86283,0.70729,0.65876,0.37031,0.00538,0,0.001406,0.001406,0.001406
92,7841.23,0.77132,0.77938,0.4581,0.0043,0.34787,0.91865,0.92181,0.97248,0.8024,0.92468,0.927,0.97455,0.84531,0.74252,0.68946,0.36573,0.00561,0,0.0013994,0.0013994,0.0013994
93,7927.42,0.76792,0.77504,0.43299,0.0043,0.3251,0.89432,0.94983,0.97059,0.82048,0.89816,0.95391,0.97501,0.85488,0.67346,0.65826,0.36946,0.00508,0,0.0013928,0.0013928,0.0013928
94,8012.33,0.7492,0.77262,0.42946,0.0042,0.32723,0.92217,0.94309,0.97326,0.82216,0.92417,0.94513,0.97479,0.86073,0.67825,0.64192,0.34244,0.00509,0,0.0013862,0.0013862,0.0013862
95,8096.53,0.77887,0.80223,0.45633,0.00437,0.36328,0.93762,0.92857,0.97446,0.80998,0.93968,0.93061,0.97693,0.84086,0.69568,0.67007,0.35863,0.00523,0,0.0013796,0.0013796,0.0013796
96,8185.39,0.75267,0.83859,0.4798,0.00427,0.44901,0.92942,0.92041,0.96481,0.80391,0.93148,0.92245,0.96533,0.83315,0.67071,0.66744,0.4436,0.00497,0,0.001373,0.001373,0.001373
97,8269.09,0.7368,0.77864,0.44339,0.00412,0.37844,0.91055,0.95567,0.97562,0.8245,0.9125,0.95771,0.97792,0.86657,0.67195,0.66235,0.3319,0.0051,0,0.0013664,0.0013664,0.0013664
98,8353.42,0.71114,0.73,0.40431,0.00408,0.31262,0.94437,0.93539,0.97645,0.83388,0.94849,0.93947,0.97986,0.87119,0.66125,0.63716,0.32538,0.00491,0,0.0013598,0.0013598,0.0013598
99,8441.4,0.7545,0.77882,0.46834,0.00425,0.40297,0.92532,0.94082,0.9764,0.81284,0.92609,0.94611,0.97954,0.86382,0.70467,0.64989,0.33856,0.00532,0,0.0013532,0.0013532,0.0013532
100,8528.04,0.71562,0.75838,0.43854,0.00394,0.36365,0.9502,0.91837,0.97631,0.82791,0.9502,0.91837,0.97882,0.86995,0.68873,0.63356,0.33135,0.00508,0,0.0013466,0.0013466,0.0013466
101,8612.57,0.74587,0.79127,0.44192,0.00418,0.34409,0.94532,0.93265,0.97637,0.82829,0.92168,0.96066,0.97811,0.8651,0.64043,0.6189,0.31481,0.00477,0,0.00134,0.00134,0.00134
102,8699.05,0.74988,0.79438,0.4298,0.00404,0.31009,0.91631,0.94694,0.97621,0.83366,0.91376,0.96122,0.9789,0.8716,0.64756,0.62319,0.32245,0.00481,0,0.0013334,0.0013334,0.0013334
103,8783.92,0.71661,0.75557,0.42664,0.00404,0.32876,0.92382,0.93878,0.97486,0.83451,0.92783,0.94286,0.97971,0.87355,0.64982,0.61813,0.33009,0.00487,0,0.0013268,0.0013268,0.0013268
104,8869.8,0.74288,0.79281,0.44932,0.004,0.36243,0.91442,0.94286,0.97509,0.81802,0.9188,0.94681,0.97777,0.84717,0.68575,0.65142,0.3467,0.00512,0,0.0013202,0.0013202,0.0013202
